red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,285,22,37
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,209,30,15
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,203,6,20
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,378,49,24
tournament1/t4v6.py,tournament1/t3v4.py,1.0,1000,0,328,61,16
tournament1/t5v2.py,tournament1/t3v4.py,0.707,707,293,600,71,58
tournament1/t6v6.py,tournament1/t3v4.py,1.0,1000,0,570,55,30
tournament1/t5v2.py,tournament1/t4v6.py,0.001,1,999,600,34,117
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,321,47,20
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,583,79,32
tournament1/t2v4.py,tournament1/t1v2.py,0.0,0,1000,537,88,44
tournament1/t3v4.py,tournament1/t1v2.py,0.666,666,334,600,55,66
tournament1/t4v6.py,tournament1/t1v2.py,1.0,1000,0,285,60,10
tournament1/t5v2.py,tournament1/t1v2.py,1.0,1000,0,600,65,58
tournament1/t6v6.py,tournament1/t1v2.py,1.0,1000,0,388,55,24
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,508,34,91
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,221,32,23
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,341,37,42
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,242,34,9
tournament1/t4v6.py,tournament1/t3v4.py,1.0,1000,0,303,51,2
tournament1/t5v2.py,tournament1/t3v4.py,0.581,581,419,600,57,54
tournament1/t6v6.py,tournament1/t3v4.py,1.0,1000,0,451,48,11
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,516,25,91
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,456,65,48
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,424,59,39
tournament1/t2v4.py,tournament1/t1v2.py,0.652,652,348,600,103,52
tournament1/t3v4.py,tournament1/t1v2.py,0.41,410,590,600,50,60
tournament1/t4v6.py,tournament1/t1v2.py,0.896,896,104,600,95,32
tournament1/t5v2.py,tournament1/t1v2.py,0.485,485,515,600,38,64
tournament1/t6v6.py,tournament1/t1v2.py,1.0,1000,0,330,39,26
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,411,36,52
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,362,47,30
tournament1/t5v2.py,tournament1/t2v4.py,0.925,925,75,600,30,121
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,217,36,19
tournament1/t4v6.py,tournament1/t3v4.py,0.661,661,339,600,87,45
tournament1/t5v2.py,tournament1/t3v4.py,1.0,1000,0,442,56,27
tournament1/t6v6.py,tournament1/t3v4.py,0.713,713,287,600,73,41
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,554,4,82
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,202,35,17
tournament1/t6v6.py,tournament1/t5v2.py,0.866,866,134,600,89,49
tournament1/t2v4.py,tournament1/t1v2.py,0.134,134,866,600,84,53
tournament1/t3v4.py,tournament1/t1v2.py,0.553,553,447,600,68,72
tournament1/t4v6.py,tournament1/t1v2.py,0.725,725,275,600,86,24
tournament1/t5v2.py,tournament1/t1v2.py,0.676,676,324,600,73,72
tournament1/t6v6.py,tournament1/t1v2.py,1.0,1000,0,502,66,54
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,301,40,41
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,186,19,23
tournament1/t5v2.py,tournament1/t2v4.py,0.0,0,1000,504,0,0
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,492,52,28
tournament1/t4v6.py,tournament1/t3v4.py,0.806,806,194,600,95,27
tournament1/t5v2.py,tournament1/t3v4.py,0.914,914,86,600,76,44
tournament1/t6v6.py,tournament1/t3v4.py,0.595,595,405,600,68,53
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,326,26,44
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,186,30,15
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,537,70,42
tournament1/t2v4.py,tournament1/t1v2.py,0.417,417,583,600,101,61
tournament1/t3v4.py,tournament1/t1v2.py,0.965,965,35,600,88,60
tournament1/t4v6.py,tournament1/t1v2.py,1.0,1000,0,537,89,15
tournament1/t5v2.py,tournament1/t1v2.py,0.517,517,483,600,48,63
tournament1/t6v6.py,tournament1/t1v2.py,1.0,1000,0,512,52,44
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,469,45,67
tournament1/t4v6.py,tournament1/t2v4.py,0.999,999,1,600,72,42
tournament1/t5v2.py,tournament1/t2v4.py,0.999,999,1,600,38,71
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,188,13,13
tournament1/t4v6.py,tournament1/t3v4.py,0.011,11,989,600,47,37
tournament1/t5v2.py,tournament1/t3v4.py,1.0,1000,0,459,67,35
tournament1/t6v6.py,tournament1/t3v4.py,0.606,606,394,600,67,51
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,506,20,88
tournament1/t6v6.py,tournament1/t4v6.py,0.209,209,791,600,51,89
tournament1/t6v6.py,tournament1/t5v2.py,0.953,953,47,600,84,57
tournament1/t2v4.py,tournament1/t1v2.py,0.31,310,690,600,87,39
tournament1/t3v4.py,tournament1/t1v2.py,0.303,303,697,600,67,77
tournament1/t4v6.py,tournament1/t1v2.py,1.0,1000,0,533,102,26
tournament1/t5v2.py,tournament1/t1v2.py,1.0,1000,0,477,33,39
tournament1/t6v6.py,tournament1/t1v2.py,0.909,909,91,600,72,68
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,219,25,29
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,194,36,11
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,420,15,75
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,204,21,16
tournament1/t4v6.py,tournament1/t3v4.py,0.848,848,152,600,90,66
tournament1/t5v2.py,tournament1/t3v4.py,1.0,1000,0,352,50,25
tournament1/t6v6.py,tournament1/t3v4.py,0.491,491,509,600,52,31
tournament1/t5v2.py,tournament1/t4v6.py,0.262,262,738,600,36,101
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,312,41,38
tournament1/t6v6.py,tournament1/t5v2.py,0.889,889,111,600,71,50
tournament1/t2v4.py,tournament1/t1v2.py,0.533,533,467,600,100,54
tournament1/t3v4.py,tournament1/t1v2.py,0.621,621,379,600,66,66
tournament1/t4v6.py,tournament1/t1v2.py,1.0,1000,0,402,81,14
tournament1/t5v2.py,tournament1/t1v2.py,1.0,1000,0,357,52,22
tournament1/t6v6.py,tournament1/t1v2.py,0.797,797,203,600,71,41
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,293,34,24
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,296,52,15
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,216,24,23
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,201,23,10
tournament1/t4v6.py,tournament1/t3v4.py,0.917,917,83,600,86,24
tournament1/t5v2.py,tournament1/t3v4.py,1.0,1000,0,452,61,21
tournament1/t6v6.py,tournament1/t3v4.py,0.692,692,308,600,64,51
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,593,34,105
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,377,57,24
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,252,35,20
tournament1/t2v4.py,tournament1/t1v2.py,0.174,174,826,600,112,41
tournament1/t3v4.py,tournament1/t1v2.py,0.699,699,301,600,75,65
tournament1/t4v6.py,tournament1/t1v2.py,0.864,864,136,600,105,37
tournament1/t5v2.py,tournament1/t1v2.py,1.0,1000,0,323,33,11
tournament1/t6v6.py,tournament1/t1v2.py,0.804,804,196,600,61,54
tournament1/t3v4.py,tournament1/t2v4.py,1.0,1000,0,562,49,90
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,197,29,12
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,221,6,10
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,187,25,20
tournament1/t4v6.py,tournament1/t3v4.py,0.899,899,101,600,95,59
tournament1/t5v2.py,tournament1/t3v4.py,0.478,478,522,600,49,72
tournament1/t6v6.py,tournament1/t3v4.py,1.0,1000,0,465,53,33
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,281,6,47
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,305,40,32
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,575,66,44
tournament1/t2v4.py,tournament1/t1v2.py,0.491,491,509,600,58,27
tournament1/t3v4.py,tournament1/t1v2.py,0.541,541,459,600,82,67
tournament1/t4v6.py,tournament1/t1v2.py,0.524,524,476,600,92,34
tournament1/t5v2.py,tournament1/t1v2.py,1.0,1000,0,341,21,17
tournament1/t6v6.py,tournament1/t1v2.py,1.0,1000,0,325,46,17
tournament1/t3v4.py,tournament1/t2v4.py,0.5,500,500,600,39,58
tournament1/t4v6.py,tournament1/t2v4.py,1.0,1000,0,277,37,23
tournament1/t5v2.py,tournament1/t2v4.py,1.0,1000,0,186,20,26
tournament1/t6v6.py,tournament1/t2v4.py,1.0,1000,0,278,30,27
tournament1/t4v6.py,tournament1/t3v4.py,0.933,933,67,600,96,31
tournament1/t5v2.py,tournament1/t3v4.py,0.459,459,541,600,48,69
tournament1/t6v6.py,tournament1/t3v4.py,1.0,1000,0,507,61,44
tournament1/t5v2.py,tournament1/t4v6.py,0.0,0,1000,498,19,92
tournament1/t6v6.py,tournament1/t4v6.py,1.0,1000,0,467,52,54
tournament1/t6v6.py,tournament1/t5v2.py,1.0,1000,0,363,51,37
